counts,word,char_count
12,obscure,7.0
11,ephemeral,9.0
11,capricious,10.0
10,subtle,6.0
9,diminish,8.0
9,inconsequential,15.0
9,circumvent,10.0
9,elusive,7.0
9,implausible,11.0
9,mundane,7.0
9,augment,7.0
8,trivial,7.0
8,anticipate,10.0
8,opaque,6.0
8,pedestrian,10.0
8,mitigate,8.0
8,preclude,8.0
8,heterogeneous,13.0
8,superficial,11.0
8,innocuous,9.0
8,endorse,7.0
8,apathetic,9.0
7,esoteric,8.0
7,vacillation,11.0
7,exacerbate,10.0
7,belie,5.0
7,egalitarian,11.0
7,indifferent,11.0
7,jettison,8.0
6,rudimentary,11.0
6,arcane,6.0
6,robust,6.0
6,obviate,7.0
6,forgo,5.0
6,ubiquitous,10.0
6,bolster,7.0
6,precarious,10.0
6,forestall,9.0
6,meticulous,10.0
6,circumspect,11.0
6,archaic,7.0
6,sanguine,8.0
6,mask,4.0
6,indifference,12.0
6,impartiality,12.0
6,superfluous,11.0
6,intransigent,12.0
6,proliferate,11.0
6,derision,8.0
6,plausible,9.0
6,onerous,7.0
5,taciturn,8.0
5,conjectural,11.0
5,downplay,8.0
5,conciliatory,12.0
5,pretentious,11.0
5,rampant,7.0
5,pragmatic,9.0
5,tenacity,8.0
5,judicious,9.0
5,provocative,11.0
5,panacea,7.0
5,eliminate,9.0
5,altruistic,10.0
5,supersede,9.0
5,chaotic,7.0
5,empirical,9.0
5,sagacious,9.0
5,garrulous,9.0
5,anachronistic,13.0
5,clandestine,11.0
5,sacrosanct,10.0
5,quixotic,8.0
5,debunk,6.0
5,unprecedented,13.0
5,meager,6.0
5,predilection,12.0
5,comprehensive,13.0
5,tenuous,7.0
5,lucrative,9.0
5,immutable,9.0
5,unfathomable,12.0
5,disregard,9.0
5,supplant,8.0
5,derivative,10.0
4,anomalous,9.0
4,mercenary,9.0
4,unfounded,9.0
4,subordinate,11.0
4,hamper,6.0
4,stifle,6.0
4,baffle,6.0
4,unimpeachable,13.0
4,inveterate,10.0
4,disparity,9.0
4,conspicuous,11.0
4,formidable,10.0
4,presage,7.0
4,malleable,9.0
4,facilitate,10.0
4,galvanize,9.0
4,detriment,9.0
4,dogmatic,8.0
4,disavow,7.0
4,undermine,9.0
4,nebulous,8.0
4,gainsay,7.0
4,didactic,8.0
4,vapid,5.0
4,intricate,9.0
4,redundant,9.0
4,diffidence,10.0
4,ameliorate,10.0
4,discount,8.0
4,paucity,7.0
4,novel,5.0
4,conjecture,10.0
4,disparate,9.0
4,arbitrary,9.0
4,flout,5.0
4,tantamount,10.0
4,tractable,9.0
4,enigmatic,9.0
4,prescient,9.0
4,intangible,10.0
4,perfunctory,11.0
4,specious,8.0
4,emulate,7.0
4,daunting,8.0
4,voracious,9.0
4,vindication,11.0
4,irrelevant,10.0
4,precede,7.0
4,stagnate,8.0
4,dearth,6.0
4,salutary,8.0
4,apathy,6.0
4,erudite,7.0
4,laconic,7.0
4,cliché,6.0
4,prototype,9.0
4,decry,5.0
4,outrage,7.0
4,scrutiny,8.0
4,hostility,9.0
4,exacting,8.0
4,deleterious,11.0
4,exhaustive,10.0
4,perpetuate,10.0
4,straightforward,15.0
4,entail,6.0
4,restorative,11.0
4,extraneous,10.0
4,ambivalent,10.0
4,benign,6.0
4,elucidate,9.0
4,paradox,7.0
4,rote,4.0
4,jejune,6.0
4,surfeit,7.0
4,censure,7.0
4,ambiguous,9.0
4,diffident,9.0
4,hazardous,9.0
3,forbearance,11.0
3,proclivity,10.0
3,rationalize,11.0
3,abnegation,10.0
3,prominent,9.0
3,compliment,10.0
3,plethora,8.0
3,naïve,5.0
3,insular,7.0
3,intractability,14.0
3,taxing,6.0
3,accentuate,10.0
3,placebo,7.0
3,evanescent,10.0
3,dampen,6.0
3,spur,4.0
3,minuscule,9.0
3,sketchy,7.0
3,salient,7.0
3,wane,4.0
3,resurgence,10.0
3,magnanimity,11.0
3,extol,5.0
3,sway,4.0
3,authentic,9.0
3,relish,6.0
3,undercut,8.0
3,rehash,6.0
3,antithesis,10.0
3,lethargic,9.0
3,eclipse,7.0
3,genuine,7.0
3,compliant,9.0
3,fallacious,10.0
3,countenance,11.0
3,covert,6.0
3,zealous,7.0
3,bypass,6.0
3,ubiquity,8.0
3,fastidious,10.0
3,recapitulate,12.0
3,cosmopolitan,12.0
3,inimical,8.0
3,convoluted,10.0
3,germane,7.0
3,affable,7.0
3,discredit,9.0
3,precedent,9.0
3,overshadow,10.0
3,heterogeneity,13.0
3,deference,9.0
3,loquacious,10.0
3,exhilarating,12.0
3,manifest,8.0
3,banal,5.0
3,alleviate,9.0
3,speculative,11.0
3,counterpart,11.0
3,consolidate,11.0
3,erratic,7.0
3,disparage,9.0
3,requisite,9.0
3,frown,5.0
3,transcend,9.0
3,magnitude,9.0
3,anonymous,9.0
3,adjunct,7.0
3,embrace,7.0
3,inversion,9.0
3,paralyze,8.0
3,assert,6.0
3,vilify,6.0
3,eschew,6.0
3,adverse,7.0
3,spurious,8.0
3,spontaneity,11.0
3,uncanny,7.0
3,iconoclastic,12.0
3,transient,9.0
3,antagonistic,12.0
3,partisanship,12.0
3,solitude,8.0
3,impartial,9.0
3,fabricate,9.0
3,temper,6.0
3,mollify,7.0
3,transience,10.0
3,divorce,7.0
3,complacent,10.0
3,expedite,8.0
3,abhorrent,9.0
3,temperate,9.0
3,enigma,6.0
3,allure,6.0
3,thwart,6.0
3,primitive,9.0
3,corroborate,11.0
3,improvise,9.0
3,gloomy,6.0
3,spontaneous,11.0
3,utilitarian,11.0
3,timidity,8.0
3,radical,7.0
3,stoicism,8.0
3,methodical,10.0
3,abstruse,8.0
3,autonomous,10.0
3,indolent,8.0
3,mar,3.0
3,variance,8.0
3,metaphor,8.0
3,aversion,8.0
3,vitiate,7.0
3,irascibility,12.0
3,lament,6.0
3,excoriate,9.0
3,impugn,6.0
3,upheaval,8.0
3,hierarchical,12.0
3,perplexing,10.0
3,ingenious,9.0
3,impediment,10.0
3,assuage,7.0
3,paltry,6.0
3,foster,6.0
3,veneration,10.0
3,sycophantic,11.0
3,disdain,7.0
3,cursory,7.0
3,de-emphasize,12.0
3,feckless,8.0
3,indolence,9.0
3,sluggish,8.0
3,dilatory,8.0
3,hubris,6.0
3,nullify,7.0
3,turbulent,9.0
3,malady,6.0
2,malfeasance,11.0
2,rigorous,8.0
2,ballyhoo,8.0
