序号,section,题号,单词,音标,释义,Unnamed: 6,Unnamed: 7
1.0,S1,Q1,paradox,['pærədɑks],1. 自相矛盾 (的情况)  You describe a situation as a paradox when it involves two or morefacts or qualities that seem to contradict each other.,,
,,,,,2. 悖论，似非而是的说法  a statement that seems impossible because it contains twoopposing ideas that are both true,,
2.0,S1,Q1,cosmopolitan,['kɑzmə'pɑlətn],"1. (人等）见多识广的,a cosmopolitan person, belief, opinion etc shows a wide experience ofdifferent people and places",,
,,,,,2（指地方）世界性的，国际性的（含褒义）a cosmopolitan place has people from many differentparts of the world - use this to show approval,,
3.0,S1,Q1,capricious,[kə'prɪʃəs],"反复无常的; 易变的 changing often and quickly : impulsive, unpredictable",,
4.0,S1,Q1,insular,['ɪnsəlɚ],孤立的；与世隔绝的 separated from other people or cultures : not knowing or interested innew or different ideas,,
5.0,S1,Q1,mercenary,['mɝsənɛri],唯利是图的 caring only about making money,,
6.0,S1,Q1,intransigent,[ɪn'trænzədʒənt],不妥协的，不让步的 characterized by refusal to compromise or to abandon an extremeposition or attitude : uncompromising,,
7.0,S1,Q2,haunted,['hɔntɪd],(建筑物或地方）闹鬼的 haunted building or other place is one where a ghost regularlyappears.,,
8.0,S1,Q2,clamorous,['klæmərəs],"吵闹的 If you describe people or their voices as clamorous, you mean they are talkingloudly or shouting.",,
9.0,S1,Q2,invidious,[ɪn'vɪdɪəs],令人讨厌的; 惹人反感的 unpleasant and likely to cause bad feelings in other people,,
10.0,S1,Q2,numinous,['nʊmɪnəs],"神圣的; 神秘的 having a mysterious, holy, or spiritual quality",,
11.0,S1,Q2,empirical,[ɪm'pɪrɪkl],实证的 based on scientific testing or practical experience，not on ideas  反义词：theoretical,,
12.0,S1,Q2,sonorous,['sɑnərəs],"洪亮的 having a sound that is deep, loud, and pleasant",,
13.0,S1,Q3,dearth,[dɜːθ],"缺乏，不足 If there is a dearth of something, there is not enough of it.",,
14.0,S1,Q3,presumption,[pri'zʌmpʃən],1. (无证据的）推测，假定 a belief that something is true even though it has not been proved,,
,,,,,2. 傲慢，自以为是   behaviour that seems rude and too confident,,
15.0,S1,Q3,detection,[dɪ'tɛkʃən],"察觉; 发现 the act or process of discovering, finding,or noticing something",,
16.0,S1,Q3,controversial,"[,kɑntrə'vɝʃl]","有争议的 relating to or causing much discussion, disagreement, or argument",,
17.0,S1,Q3,unambiguous,['ʌnæm'bɪgjʊəs],清楚地，明白的 clearly expressed or understood : not ambiguous,,
18.0,S1,Q4,gainsay,"[,gen'se]",否认 to deny or disagree with something : to show or say that something is not true,,
19.0,S1,Q4,sterling,['stɝlɪŋ],1. 即兴的 made or done without planning because of an immediate needor character.,,
20.0,S1,Q4,ad hoc,"[,æd'hɔk]",1. 即兴的 made or done without planning because of an immediate need,,
,,,,,2. 特别的 formed or used for a special purpose,,
21.0,S1,Q4,superficial,"[,supɚ'fɪʃl]","1. (人) 肤浅的 If you describe someone as superficial, you disapprove of them because theydo not think deeply, and have little understanding of anything serious or important.",,
,,,,,2. 表面上的  concerned only with what is obvious or apparent : not thorough or complete,,
