vocabulary,definition,short,chinese,long
cosmopolitan,"1. composed of people from or at home in many parts of the world; especially not provincial in attitudes or interests
2. of worldwide scope or applicability
3. growing or occurring in many parts of the world
4. a sophisticated person who has travelled in many countries","Your Aunt Eleanor, who's lived in six different countries and speaks four languages fluently, might be described ascosmopolitan, or comfortable and familiar with different cultures and people.",指人因见多识广而到哪里都不会因陌生而感到害怕 (懂得世上很多复杂关系的),"People who are cosmopolitan have an air of glamour surrounding them, a sense that they've seen a lot of the world and are sophisticated and at ease with all different kinds of people. Places can also be described as cosmopolitan, meaning ""diverse,"" or bustling with lots of people of varying nationalities. Any way you use it,cosmopolitanimplies a sophistication, which might explain why both a well-known alcoholic cocktail and a famous women's magazine are both named after the wordcosmopolitan."
clamorous,1. conspicuously and offensively loud; given to vehement outcry,"Clamorousmeans super loud and obnoxiously crying out. If you find yourself in the midst of a pack ofclamorousgroupies going nuts over a celebrity sighting, you'll need to put your ear plugs in.",指一群人：极度吵闹的。,"Clamorouscomes from the Latin rootclÄmĹr, meaning ""shout."" If you're a clamorous person, you're not just loud, but you're also kind of aggressive about it. Town hall meetings with touchy subjects on the agenda tend to be clamorous affairs, as do championship playoffs, arguments between siblings, and daytime talk shows."
intransigent,"1. impervious to pleas, persuasion, requests, or reason","Intransigentmeans inflexible, stubborn, entrenched. Argue all you like with anintransigentthree-year-old. He will never back down from the position that he wants the lollipop NOW.",指人不为所动的，固执己见的,"Trans has to do with movement â think transportation, or a package in transit, i.e. ""on the way."" The in-of intransigent means ""not,"" so something or someone who is intransigent is not moving. If one political party wants to raise funds to improve schools but the other is intransigenton the subject of higher taxes, the debate will get nowhere."
numinous,"1. of or relating to or characteristic of a numen
2. evincing the presence of a deity","Somethingnuminoushas a strong religious quality, suggesting the presence of a divine power. When you enter a temple, church, or mosque, you might feel as though you've entered anuminousspace.",指宗教：神圣的（物品或场地）,"Numinouscomes from the Latinnumin-meaning ""divine power.""  This word also comes fromnumen, a word used to describe the spirit or divine power characteristic of a thing or place. However, you don't have to be in a strictly religious environment to experience something numinous; you might see the beauty of a painting or the melody of a song as numinous â if they communicate a spiritual vibe."
sterling,"1. highest in quality
2. British money; especially the pound sterling as the basic monetary unit of the UK","Sterlingis British money, but it also describes anything of very high quality. Asterlingreport card has all A’s, andsterlingmanners are needed for a visit with the Queen of England.",(某人的努力成果/人格)优秀的,"Sterling is a word for British currency, and although the jury is still out, the wordsterlingmay be from the Middle English word for ""star,""sterrefrom the stars that appeared in the design of certain Norman (really old British) coins. Sterling can still refer to money, but it also describes something great. A sterling reputation is a flawless, immaculate reputation."
ad hoc,created or done for a particular purpose as necessary.,"""the discussions were on an ad hoc basis"" ad hoc committee",特别针对…的,
enigma,"1. something that baffles understanding and cannot be explained
2. a difficult problem",Use the nounenigmato refer to something that is a puzzle or a mystery. Why do you have to learn difficult words like this? That is anenigma.,指人/事物：神秘的，困惑的，难以理解的,"Traveling to English from Greek by means of the Latin word for ""riddle,""enigmarefers to something or someone that is mysterious, puzzling, or difficult to figure out. Many things have been named Enigma, including a rock band, a video game, a rollercoaster ride, and a very famous coding machine used in World War II."
neutralized,1. made neutral in some respect; deprived of distinctive characteristics,,使之无效/使不能正常运作,
fickle,"1. liable to sudden unpredictable change
2. marked by erratic changeableness in affections or attachments","People who areficklechange their minds so much you can't rely on them. If your best friend suddenly decides that she doesn't like you one week, and then the next week she wants to hang out again, she's beingfickle.","指人/天气/命运：being fickle: 善变的 贬义，指兴趣/忠诚：变化无端","Ficklecomes from the Old English word ficol, for deceitful.  We usually usefickleto talk about people, but it can also be used for abstract things that alternately favor you and abuse you, like the weather. If you win the lottery and then lose everything else in the world that's important to you, fate is being fickle."
partiality over,"1. an inclination to favor one group or view or opinion over alternatives
2. a predisposition to like something","Partialityis the habit of favoring something — taking itspart. If your parents always seem to let your little sister off the hook while you get grounded, you could accuse them ofpartialityin their parenting. They favor your sister over you.","偏袒(某人或某事) =bias=favortism","Partialityis like bias. It means that your favorite person, type of food, or way of operating tends to get priority when you’re making up your mind. A synonym forpartialityis favoritism. For this reason, anyone who’s not directly benefiting from yourpartialitywill not appreciate it. It’s unfair!"
